"","priceType","area","yyyymm","day","deposit","price","floor","build","aptType","yyyy","mm","si"
"423642","전세",39.66,201704,"1",6000,0,1,"1990","아파트","2017","04","남양주시"
"782638","월세",80.1687,201809,"16",2000,60,5,"2002","아파트","2018","09","김포시"
"132266","전세",84.7524,201603,"1",17000,0,4,"2006","아파트","2016","03","양주시"
"403841","전세",84.56,201708,"17",17500,0,8,"2005","아파트","2017","08","구리시"
"120855","전세",39.69,201611,"8",16000,0,8,"2003","아파트","2016","11","안양동안구"
"1159129","전세",59.996,201901,"10",25000,0,18,"2017","아파트","2019","01","광주시"
"48286","월세",84.987,201608,"25",18500,22,13,"2014","아파트","2016","08","김포시"
"601779","월세",20,201703,"21",150,20,1,"1991","단독다가구","2017","03","성남수정구"
"554281","월세",84.9062,201711,"3",4000,40,5,"2004","아파트","2017","11","화성시"
"197839","전세",71.97,201612,"6",14000,0,1,"2012","단독다가구","2016","12","고양덕양구"
"70070","월세",29.72,201611,"4",3100,7,8,"2016","아파트","2016","11","부천시"
"1105907","월세",26.65,201802,"18",1000,60,13,"null","오피스텔","2018","02","부천시"
"1528437","전세",73.03,201903,"11",21000,0,4,"2017","오피스텔","2019","03","용인기흥구"
"450320","월세",59.49,201706,"10",35000,23,8,"1992","아파트","2017","06","성남분당구"
"818937","전세",134.88,201807,"17",58000,0,5,"1992","아파트","2018","07","성남분당구"
"1009979","전세",50,201802,"9",7500,0,1,"2003","단독다가구","2018","02","시흥시"
"232185","월세",30,201611,"30",1500,30,1,"2003","단독다가구","2016","11","성남분당구"
"1085158","전세",38.03,201804,"25",16000,0,2,"1997","연립다세대","2018","04","안양동안구"
"1347879","전세",59.8365,201903,"3",19000,0,19,"2015","아파트","2019","03","화성시"
"569221","월세",38,201712,"9",4500,10,1,"1992","단독다가구","2017","12","광명시"
"644013","월세",33,201704,"28",500,40,1,"2016","단독다가구","2017","04","오산시"
"1111025","전세",23.54,201801,"17",13500,0,9,"2017","오피스텔","2018","01","성남중원구"
"657256","전세",65,201703,"29",12500,0,1,"2015","단독다가구","2017","03","파주시"
"705228","전세",18.72,201702,"27",4000,0,5,"2014","연립다세대","2017","02","오산시"
